starttime	seconds	ctime	dtime	ttime	wait
Sun Jul 23 20:57:37 2017	1500836257	1	3	3	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	3	3
Sun Jul 23 20:57:36 2017	1500836256	1	3	3	2
Sun Jul 23 20:57:37 2017	1500836257	0	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	2	2	4	2
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	2	4	2
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	2
Sun Jul 23 20:57:38 2017	1500836258	1	3	4	3
Sun Jul 23 20:57:36 2017	1500836256	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:36 2017	1500836256	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:36 2017	1500836256	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	2
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	2	4	2
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	2	4	2
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	2
Sun Jul 23 20:57:36 2017	1500836256	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	2	2	4	2
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:38 2017	1500836258	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
Sun Jul 23 20:57:37 2017	1500836257	1	3	4	3
