starttime	seconds	ctime	dtime	ttime	wait
Sun Jul 23 21:05:20 2017	1500836720	0	0	1	0
Sun Jul 23 21:05:20 2017	1500836720	0	0	1	0
Sun Jul 23 21:05:20 2017	1500836720	0	0	1	0
Sun Jul 23 21:05:20 2017	1500836720	0	0	1	0
Sun Jul 23 21:05:20 2017	1500836720	0	0	1	0
Sun Jul 23 21:05:20 2017	1500836720	0	1	1	1
Sun Jul 23 21:05:20 2017	1500836720	1	0	1	0
Sun Jul 23 21:05:20 2017	1500836720	1	1	1	0
Sun Jul 23 21:05:20 2017	1500836720	1	1	2	1
Sun Jul 23 21:05:20 2017	1500836720	1	1	2	1
Sun Jul 23 21:05:20 2017	1500836720	1	1	2	1
Sun Jul 23 21:05:20 2017	1500836720	1	1	3	1
Sun Jul 23 21:05:20 2017	1500836720	1	2	3	1
Sun Jul 23 21:05:20 2017	1500836720	2	2	4	2
Sun Jul 23 21:05:20 2017	1500836720	1	3	4	3
Sun Jul 23 21:05:20 2017	1500836720	2	3	4	3
Sun Jul 23 21:05:20 2017	1500836720	1	3	5	3
Sun Jul 23 21:05:20 2017	1500836720	1	3	5	3
Sun Jul 23 21:05:20 2017	1500836720	1	5	5	4
Sun Jul 23 21:05:20 2017	1500836720	2	5	7	4
Sun Jul 23 21:05:20 2017	1500836720	2	5	7	4
Sun Jul 23 21:05:20 2017	1500836720	2	5	7	5
Sun Jul 23 21:05:20 2017	1500836720	2	5	7	5
Sun Jul 23 21:05:20 2017	1500836720	2	5	7	5
Sun Jul 23 21:05:20 2017	1500836720	2	5	7	4
Sun Jul 23 21:05:20 2017	1500836720	4	3	7	3
Sun Jul 23 21:05:20 2017	1500836720	1	6	7	6
Sun Jul 23 21:05:20 2017	1500836720	2	6	7	5
Sun Jul 23 21:05:20 2017	1500836720	2	5	8	5
Sun Jul 23 21:05:20 2017	1500836720	2	6	8	5
Sun Jul 23 21:05:20 2017	1500836720	3	5	8	5
Sun Jul 23 21:05:20 2017	1500836720	2	6	8	5
Sun Jul 23 21:05:20 2017	1500836720	4	4	8	4
Sun Jul 23 21:05:20 2017	1500836720	2	5	8	5
Sun Jul 23 21:05:20 2017	1500836720	1	6	8	6
Sun Jul 23 21:05:20 2017	1500836720	1	7	8	6
Sun Jul 23 21:05:20 2017	1500836720	2	6	8	6
Sun Jul 23 21:05:20 2017	1500836720	3	5	8	4
Sun Jul 23 21:05:20 2017	1500836720	4	4	8	3
Sun Jul 23 21:05:20 2017	1500836720	2	7	8	6
Sun Jul 23 21:05:20 2017	1500836720	3	5	8	5
Sun Jul 23 21:05:20 2017	1500836720	1	7	8	7
Sun Jul 23 21:05:20 2017	1500836720	3	5	8	5
Sun Jul 23 21:05:20 2017	1500836720	3	6	9	5
