starttime	seconds	ctime	dtime	ttime	wait
Sun Jul 23 21:00:04 2017	1500836404	8	4	12	3
Sun Jul 23 21:00:04 2017	1500836404	8	4	12	4
Sun Jul 23 21:00:04 2017	1500836404	8	4	12	4
Sun Jul 23 21:00:05 2017	1500836405	6	6	12	3
Sun Jul 23 21:00:04 2017	1500836404	8	4	12	4
Sun Jul 23 21:00:04 2017	1500836404	8	4	12	4
Sun Jul 23 21:00:04 2017	1500836404	8	4	12	4
Sun Jul 23 21:00:04 2017	1500836404	8	4	12	4
Sun Jul 23 21:00:04 2017	1500836404	8	4	12	4
Sun Jul 23 21:00:04 2017	1500836404	8	4	12	4
Sun Jul 23 21:00:05 2017	1500836405	5	7	12	7
Sun Jul 23 21:00:05 2017	1500836405	5	7	12	7
Sun Jul 23 21:00:04 2017	1500836404	8	4	12	4
Sun Jul 23 21:00:05 2017	1500836405	4	8	12	8
Sun Jul 23 21:00:05 2017	1500836405	3	9	12	6
Sun Jul 23 21:00:05 2017	1500836405	4	8	12	8
Sun Jul 23 21:00:04 2017	1500836404	8	4	12	4
Sun Jul 23 21:00:04 2017	1500836404	7	5	12	5
Sun Jul 23 21:00:04 2017	1500836404	8	5	12	5
Sun Jul 23 21:00:04 2017	1500836404	8	4	12	4
Sun Jul 23 21:00:05 2017	1500836405	6	6	12	6
Sun Jul 23 21:00:05 2017	1500836405	1	11	12	8
Sun Jul 23 21:00:04 2017	1500836404	8	5	12	5
Sun Jul 23 21:00:05 2017	1500836405	6	6	12	6
Sun Jul 23 21:00:04 2017	1500836404	7	5	12	5
Sun Jul 23 21:00:05 2017	1500836405	1	11	12	9
Sun Jul 23 21:00:05 2017	1500836405	1	12	13	9
Sun Jul 23 21:00:04 2017	1500836404	8	5	13	5
Sun Jul 23 21:00:05 2017	1500836405	4	8	13	8
Sun Jul 23 21:00:05 2017	1500836405	4	8	13	8
Sun Jul 23 21:00:04 2017	1500836404	7	5	13	5
Sun Jul 23 21:00:04 2017	1500836404	7	5	13	5
Sun Jul 23 21:00:04 2017	1500836404	7	5	13	5
Sun Jul 23 21:00:05 2017	1500836405	5	8	13	8
Sun Jul 23 21:00:05 2017	1500836405	8	5	13	5
Sun Jul 23 21:00:05 2017	1500836405	5	8	13	8
Sun Jul 23 21:00:05 2017	1500836405	7	6	13	5
Sun Jul 23 21:00:05 2017	1500836405	6	7	13	7
Sun Jul 23 21:00:05 2017	1500836405	6	7	13	7
Sun Jul 23 21:00:05 2017	1500836405	2	11	13	11
Sun Jul 23 21:00:04 2017	1500836404	7	6	13	6
Sun Jul 23 21:00:04 2017	1500836404	7	6	13	6
