starttime	seconds	ctime	dtime	ttime	wait
Sun Jul 23 20:58:42 2017	1500836322	2	4	6	4
Sun Jul 23 20:58:42 2017	1500836322	4	2	6	2
Sun Jul 23 20:58:42 2017	1500836322	4	2	6	2
Sun Jul 23 20:58:42 2017	1500836322	2	4	6	3
Sun Jul 23 20:58:43 2017	1500836323	2	4	6	4
Sun Jul 23 20:58:42 2017	1500836322	2	4	6	4
Sun Jul 23 20:58:42 2017	1500836322	4	2	6	2
Sun Jul 23 20:58:42 2017	1500836322	2	5	6	5
Sun Jul 23 20:58:42 2017	1500836322	4	3	6	2
Sun Jul 23 20:58:43 2017	1500836323	2	5	7	4
Sun Jul 23 20:58:43 2017	1500836323	1	6	7	6
Sun Jul 23 20:58:42 2017	1500836322	2	5	7	5
Sun Jul 23 20:58:42 2017	1500836322	2	5	7	5
Sun Jul 23 20:58:42 2017	1500836322	3	4	7	4
Sun Jul 23 20:58:43 2017	1500836323	2	6	7	5
Sun Jul 23 20:58:42 2017	1500836322	4	3	7	3
Sun Jul 23 20:58:43 2017	1500836323	1	7	7	7
Sun Jul 23 20:58:43 2017	1500836323	1	6	7	6
Sun Jul 23 20:58:42 2017	1500836322	4	4	8	4
Sun Jul 23 20:58:43 2017	1500836323	2	6	8	6
Sun Jul 23 20:58:43 2017	1500836323	1	7	8	7
Sun Jul 23 20:58:43 2017	1500836323	1	6	8	6
Sun Jul 23 20:58:42 2017	1500836322	1	7	8	6
Sun Jul 23 20:58:42 2017	1500836322	2	6	8	6
Sun Jul 23 20:58:42 2017	1500836322	1	6	8	6
Sun Jul 23 20:58:43 2017	1500836323	0	8	8	7
Sun Jul 23 20:58:43 2017	1500836323	1	7	8	7
Sun Jul 23 20:58:43 2017	1500836323	1	7	8	7
Sun Jul 23 20:58:42 2017	1500836322	1	7	8	7
Sun Jul 23 20:58:42 2017	1500836322	1	7	8	7
Sun Jul 23 20:58:43 2017	1500836323	1	7	8	7
Sun Jul 23 20:58:42 2017	1500836322	1	7	8	7
Sun Jul 23 20:58:43 2017	1500836323	1	7	8	7
Sun Jul 23 20:58:43 2017	1500836323	5	3	8	3
Sun Jul 23 20:58:43 2017	1500836323	3	5	8	4
Sun Jul 23 20:58:43 2017	1500836323	1	7	8	7
Sun Jul 23 20:58:43 2017	1500836323	5	3	8	3
Sun Jul 23 20:58:43 2017	1500836323	1	7	8	7
Sun Jul 23 20:58:44 2017	1500836324	1	7	8	7
Sun Jul 23 20:58:42 2017	1500836322	1	7	8	7
Sun Jul 23 20:58:42 2017	1500836322	1	7	8	7
Sun Jul 23 20:58:43 2017	1500836323	1	7	8	7
Sun Jul 23 20:58:42 2017	1500836322	1	7	8	7
Sun Jul 23 20:58:43 2017	1500836323	5	3	8	3
Sun Jul 23 20:58:43 2017	1500836323	5	3	8	3
Sun Jul 23 20:58:43 2017	1500836323	5	3	8	3
Sun Jul 23 20:58:43 2017	1500836323	5	3	8	3
Sun Jul 23 20:58:43 2017	1500836323	5	3	8	3
Sun Jul 23 20:58:42 2017	1500836322	1	7	8	7
Sun Jul 23 20:58:43 2017	1500836323	1	7	8	7
Sun Jul 23 20:58:42 2017	1500836322	1	8	8	7
Sun Jul 23 20:58:43 2017	1500836323	5	3	8	3
Sun Jul 23 20:58:43 2017	1500836323	5	3	8	3
Sun Jul 23 20:58:42 2017	1500836322	1	7	8	7
Sun Jul 23 20:58:42 2017	1500836322	3	6	8	6
Sun Jul 23 20:58:43 2017	1500836323	5	3	8	3
Sun Jul 23 20:58:43 2017	1500836323	3	5	8	4
Sun Jul 23 20:58:43 2017	1500836323	1	7	8	7
Sun Jul 23 20:58:43 2017	1500836323	2	6	8	6
Sun Jul 23 20:58:42 2017	1500836322	1	7	8	7
Sun Jul 23 20:58:43 2017	1500836323	5	4	8	4
Sun Jul 23 20:58:43 2017	1500836323	5	3	8	3
Sun Jul 23 20:58:43 2017	1500836323	5	4	8	3
Sun Jul 23 20:58:43 2017	1500836323	5	4	8	3
Sun Jul 23 20:58:43 2017	1500836323	5	4	8	4
Sun Jul 23 20:58:42 2017	1500836322	1	7	8	7
Sun Jul 23 20:58:43 2017	1500836323	3	5	8	4
Sun Jul 23 20:58:42 2017	1500836322	1	7	8	7
Sun Jul 23 20:58:43 2017	1500836323	5	4	8	4
Sun Jul 23 20:58:43 2017	1500836323	5	4	8	4
Sun Jul 23 20:58:43 2017	1500836323	5	4	8	3
Sun Jul 23 20:58:42 2017	1500836322	1	8	8	8
Sun Jul 23 20:58:43 2017	1500836323	3	5	8	4
Sun Jul 23 20:58:43 2017	1500836323	5	4	8	4
Sun Jul 23 20:58:42 2017	1500836322	1	7	8	7
Sun Jul 23 20:58:42 2017	1500836322	1	8	8	7
Sun Jul 23 20:58:42 2017	1500836322	1	7	8	7
Sun Jul 23 20:58:43 2017	1500836323	4	4	8	4
Sun Jul 23 20:58:43 2017	1500836323	4	4	8	4
Sun Jul 23 20:58:43 2017	1500836323	1	7	8	7
Sun Jul 23 20:58:43 2017	1500836323	5	4	8	3
Sun Jul 23 20:58:43 2017	1500836323	5	4	8	3
Sun Jul 23 20:58:42 2017	1500836322	1	7	8	7
Sun Jul 23 20:58:42 2017	1500836322	1	7	8	7
Sun Jul 23 20:58:42 2017	1500836322	1	7	8	7
Sun Jul 23 20:58:43 2017	1500836323	4	4	9	3
Sun Jul 23 20:58:43 2017	1500836323	4	4	9	4
Sun Jul 23 20:58:44 2017	1500836324	1	7	9	7
Sun Jul 23 20:58:42 2017	1500836322	1	7	9	7
Sun Jul 23 20:58:43 2017	1500836323	4	4	9	4
Sun Jul 23 20:58:42 2017	1500836322	1	8	9	6
Sun Jul 23 20:58:43 2017	1500836323	4	4	9	4
Sun Jul 23 20:58:43 2017	1500836323	5	4	9	4
Sun Jul 23 20:58:43 2017	1500836323	5	3	9	3
Sun Jul 23 20:58:44 2017	1500836324	1	7	9	7
Sun Jul 23 20:58:42 2017	1500836322	1	7	9	7
Sun Jul 23 20:58:43 2017	1500836323	3	5	9	4
Sun Jul 23 20:58:42 2017	1500836322	1	7	9	7
Sun Jul 23 20:58:44 2017	1500836324	1	7	9	7
Sun Jul 23 20:58:43 2017	1500836323	4	4	9	4
Sun Jul 23 20:58:43 2017	1500836323	5	4	9	4
Sun Jul 23 20:58:43 2017	1500836323	4	4	9	4
Sun Jul 23 20:58:43 2017	1500836323	3	5	9	4
Sun Jul 23 20:58:43 2017	1500836323	6	3	9	3
Sun Jul 23 20:58:43 2017	1500836323	4	4	9	4
Sun Jul 23 20:58:43 2017	1500836323	3	6	9	5
Sun Jul 23 20:58:42 2017	1500836322	1	8	9	8
Sun Jul 23 20:58:42 2017	1500836322	4	5	9	5
Sun Jul 23 20:58:43 2017	1500836323	5	3	9	3
Sun Jul 23 20:58:43 2017	1500836323	5	3	9	3
Sun Jul 23 20:58:43 2017	1500836323	5	4	9	3
